LI,EF,DF,HL,rollout_method,hertg_method,done,percent_done,cumulative_reward,num_actions,computation_time,computation_per_action,rollout_pre_collision_stop,trial_config
25,0.1,1.0,9,same,static,True,100.0,6.949999999999999,55,29.86070750199724,0.542921954581768,True,trial_92
25,0.1,1.0,9,same,static,True,100.0,6.950000000000001,55,29.971047142000316,0.5449281298545512,True,trial_92
25,0.1,1.0,9,same,static,True,100.0,6.949996443643371,52,32.614522191001015,0.6272023498269426,True,trial_70
25,0.1,1.0,9,same,static,True,100.0,6.949980103415794,58,38.375482229002955,0.6616462453276372,True,trial_70
25,0.1,1.0,9,same,static,True,100.0,6.949232921155783,64,39.39940341200054,0.6156156783125084,True,trial_19
25,0.1,1.0,9,same,static,True,100.0,6.9498706928930805,62,41.93867772499652,0.6764302858870407,True,trial_70
25,0.1,1.0,9,same,static,True,100.0,6.949987356319885,82,43.12402418799684,0.5259027339999615,True,trial_92
25,0.1,1.0,9,same,static,True,100.0,6.948978445601218,64,43.469011037999735,0.6792032974687459,True,trial_19
25,0.1,1.0,9,same,static,True,100.0,6.949987356319885,83,43.66764209900066,0.5261161698674778,True,trial_92
25,0.1,1.0,9,same,static,True,100.0,6.949988447481258,75,45.9733314849982,0.6129777531333093,True,trial_70
25,0.1,1.0,9,same,static,True,100.0,6.94998844748126,75,46.07314599699748,0.6143086132932998,True,trial_70
25,0.1,1.0,9,same,static,True,100.0,6.949987356319883,83,45.96805647400106,0.5538320057108561,True,trial_92
25,0.1,1.0,9,same,static,True,100.0,6.728773778564068,86,52.207614450999245,0.6070652843139447,True,trial_19
25,0.1,1.0,9,same,static,True,100.0,6.950000000000001,107,55.26767334300166,0.516520311616838,True,trial_47
25,0.1,1.0,9,same,static,True,100.0,6.949999999999999,107,56.34407998399911,0.5265801867663468,True,trial_47
25,0.1,1.0,9,same,static,True,100.0,6.95,107,58.16739354299716,0.5436205004018426,True,trial_47
25,0.1,1.0,9,same,static,True,100.0,6.95,107,59.03515712499939,0.551730440420555,True,trial_47
25,0.1,1.0,9,same,static,True,100.0,6.728773778564066,86,60.68024619400239,0.7055842580697953,True,trial_19
25,0.1,1.0,9,same,static,True,100.0,6.948338926838303,91,64.96948585099744,0.7139503939670049,True,trial_19
25,0.1,1.0,9,same,static,True,100.0,6.949999999999999,148,67.52594469700125,0.4562563830878463,True,trial_47
50,0.1,1.0,9,same,static,True,100.0,6.927215607390393,61,76.37796644899936,1.2520978106393337,True,trial_19
50,0.1,1.0,9,same,static,True,100.0,6.95,45,53.429848378000315,1.1873299639555626,True,trial_70
50,0.1,1.0,9,same,static,True,100.0,6.949999999999999,74,89.98233654299838,1.2159775208513295,True,trial_70
50,0.1,1.0,9,same,static,True,100.0,6.94998689306539,68,91.0270481890002,1.338633061602944,True,trial_19
50,0.1,1.0,9,same,static,True,100.0,6.949999999999999,83,103.70837389000008,1.2494984806024105,True,trial_19
50,0.1,1.0,9,same,static,True,100.0,6.949999999999999,111,119.52046492500085,1.076760945270278,True,trial_47
50,0.1,1.0,9,same,static,True,100.0,6.948059358452024,82,91.38967092800158,1.1145081820487996,True,trial_70
50,0.1,1.0,9,same,static,True,100.0,6.95,70,81.61618530499982,1.1659455043571403,True,trial_92
50,0.1,1.0,9,same,static,True,100.0,6.949999999999999,74,81.36121055699914,1.0994758183378261,True,trial_92
