LI,EF,DF,HL,rollout_method,hertg_method,done,percent_done,cumulative_reward,num_actions,computation_time,computation_per_action,rollout_pre_collision_stop,collision_failure,trial_config
25,0.1,1.0,6,random_same,dynamic,False,49.55447722663775,0.5544348663680899,12,0.8347799559996929,0.06956499633330775,False,True,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.54767948091284,0.5526886474496467,12,0.8744848930000444,0.07287374108333704,False,True,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.1121719368323,0.5341784801367019,12,0.8981425470010436,0.07484521225008696,False,True,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.565080404407745,0.5545408981457898,12,1.0975722189978114,0.09146435158315096,False,True,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.120626708104076,0.5342630278494197,12,1.2312318019976374,0.10260265016646979,False,True,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.13849743880318,0.5344417351564107,12,1.2472835920016223,0.10394029933346853,False,True,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.543344420601066,0.5543235383077232,12,1.3106950079964008,0.10922458399970007,False,True,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.548242420866806,0.5543725183103805,12,1.6238255270000082,0.13531879391666735,False,True,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.123325267888355,0.5342900134472626,12,1.6858236820007733,0.14048530683339777,False,True,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.55313628141313,0.5527432154546496,12,1.7058799719998206,0.1421566643333184,False,True,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.533373135666366,0.5542238254583761,12,1.7065363039982913,0.14221135866652426,False,True,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.549165626245994,0.5543817503641724,12,1.7587496449996252,0.14656247041663542,False,True,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.11957252773228,0.5359168169403588,12,1.8945914959986112,0.15788262466655092,False,True,trial_45
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,7.2157536080012505,0.018039384020003126,False,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,9.14971625600083,0.022874290640002074,False,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,9.22305204100121,0.023057630102503026,False,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,9.304693240999768,0.02326173310249942,False,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,9.070498403001693,0.022676246007504234,False,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,9.015375029001007,0.022538437572502516,False,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,8.827129292996688,0.02206782323249172,False,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,8.825430361001054,0.022063575902502634,False,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,9.555037736998202,0.023887594342495502,False,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,9.76954645600199,0.024423866140004975,False,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,9.148798669000826,0.022871996672502063,False,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,10.087657751999359,0.025219144379998396,False,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,10.314625494000211,0.025786563735000528,False,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,9.94877701599762,0.02487194253999405,False,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9422315777617929,400,20.144287887000246,0.05036071971750061,False,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,0.0,-0.024330464620324815,400,11.469562365000456,0.02867390591250114,False,False,trial_51
25,0.1,1.0,6,random_same,dynamic,False,66.66666666666667,0.788484204720231,400,12.449166925998725,0.031122917314996813,False,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,66.66666666666667,0.788484204720231,400,12.964286792001076,0.03241071698000269,False,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,66.66666666666667,0.788484204720231,400,13.699388852000993,0.03424847213000248,False,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,74.35125929039752,0.8405011870347541,36,3.534209393998026,0.09817248316661183,False,True,trial_46
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9748998607344508,400,27.270160273998044,0.06817540068499511,False,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9602030942271459,400,27.68041069299943,0.06920102673249857,False,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,75.0,0.8827447414596482,400,18.113483150998945,0.045283707877497366,False,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9706590579111296,400,20.529535599001974,0.051323838997504936,False,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9660632495077527,400,19.476262588999816,0.04869065647249954,False,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9759445912776162,400,31.374514482999075,0.0784362862074977,False,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,50.0,0.5929720230397124,400,32.472236474000965,0.08118059118500241,False,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,82.86623223515687,0.9583328413351817,400,22.681218370998977,0.05670304592749744,False,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,82.86023264248642,0.9582728454084771,400,23.08922091400018,0.05772305228500045,False,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9770371427785207,400,23.3102623090017,0.05827565577250425,False,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,50.0,0.5895112938600485,400,34.76981294600046,0.08692453236500114,False,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9828088856977731,400,23.923795258997416,0.05980948814749354,False,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,75.0,0.8827790377597062,400,17.415082667001116,0.04353770666750279,False,False,trial_46
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9488673758982441,400,39.453299917997356,0.09863324979499338,False,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.9488673758982442,400,39.95658205899963,0.09989145514749907,False,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.73025855148956,0.9303717671649431,400,40.80219074300112,0.1020054768575028,False,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.70623243830568,0.9301315060331043,400,40.799810985001386,0.10199952746250346,False,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.70659654215574,0.9301351470716047,400,41.05765525100287,0.10264413812750718,False,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.71746387315308,0.9302438203815782,400,41.40809083400018,0.10352022708500044,False,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,82.86623223515687,0.9583328413351817,400,22.711995248002495,0.05677998812000624,False,False,trial_46
