LI,EF,DF,HL,rollout_method,hertg_method,done,percent_done,cumulative_reward,num_actions,computation_time,computation_per_action,rollout_pre_collision_stop,trial_config
25,0.1,1.0,11,same,static,True,100.0,6.94991918150359,78,51.410036955996475,0.6591030378973907,True,trial_28
25,0.1,1.0,11,same,static,True,100.0,6.9499191815035894,77,52.869163092000235,0.6866125076883147,True,trial_28
25,0.1,1.0,11,same,static,True,100.0,6.949999999999999,71,52.76002019999942,0.7430988760563298,True,trial_4
25,0.1,1.0,11,same,static,True,100.0,6.9499191815035894,78,53.10580899500201,0.6808437050641283,True,trial_28
25,0.1,1.0,11,same,static,True,100.0,6.949999999999999,72,53.14026669799932,0.7380592596944351,True,trial_4
25,0.1,1.0,11,same,static,True,100.0,6.841696456084859,71,54.205688469999586,0.7634604009859096,True,trial_27
25,0.1,1.0,11,same,static,True,100.0,6.841696456084859,71,54.42955296600121,0.7666134220563551,True,trial_27
25,0.1,1.0,11,same,static,True,100.0,6.950000000000001,72,54.76022185400143,0.760558636861131,True,trial_4
25,0.1,1.0,11,same,static,True,100.0,6.841696456084859,71,55.48078521400021,0.7814195100563409,True,trial_27
25,0.1,1.0,11,same,static,True,100.0,6.949999999999999,74,55.85395782100022,0.7547832137973003,True,trial_4
25,0.1,1.0,11,same,static,True,100.0,6.84169645608486,71,56.30444825300219,0.7930203979296083,True,trial_27
25,0.1,1.0,11,same,static,True,100.0,6.94991918150359,77,57.114735110000765,0.7417498066233865,True,trial_28
25,0.1,1.0,11,same,static,True,100.0,6.949999999999999,73,61.193066718999034,0.8382611879314936,True,trial_4
25,0.1,1.0,11,same,static,True,100.0,6.845246552938345,84,67.59989023900198,0.8047605980833569,True,trial_27
25,0.1,1.0,11,same,static,True,100.0,6.95,101,73.43079285400017,0.7270375530099027,True,trial_89
25,0.1,1.0,11,same,static,True,100.0,6.949999999999999,135,100.26904456400007,0.7427336634370375,True,trial_28
50,0.1,1.0,11,same,static,True,100.0,6.94999613758035,93,127.30376347600031,1.3688576717849497,True,trial_27
50,0.1,1.0,11,same,static,True,100.0,6.950000000000001,101,137.72254219599927,1.363589526693062,True,trial_28
50,0.1,1.0,11,same,static,True,100.0,6.95,100,138.5263465229982,1.385263465229982,True,trial_28
50,0.1,1.0,11,same,static,True,100.0,6.95,114,163.89247846500075,1.4376533198684276,True,trial_28
50,0.1,1.0,11,same,static,True,100.0,6.95,76,119.59082910600046,1.573563540868427,True,trial_4
50,0.1,1.0,11,same,static,True,100.0,6.949999999999999,124,181.68676659399716,1.4652158596290095,True,trial_89
50,0.1,1.0,11,same,static,True,100.0,6.95,125,185.40508912400037,1.4832407129920029,True,trial_28
50,0.1,1.0,11,same,static,True,100.0,6.944651355872881,86,134.4057415410025,1.5628574597790987,True,trial_27
50,0.1,1.0,11,same,static,True,100.0,6.86949978211493,93,135.10145459900014,1.4527038128924745,True,trial_27
50,0.1,1.0,11,same,static,True,100.0,6.95,93,135.24128040999858,1.4542073162365439,True,trial_4
50,0.1,1.0,11,same,static,True,100.0,6.949179060176986,93,140.55280073899849,1.511320438053747,True,trial_27
50,0.1,1.0,11,same,static,True,100.0,6.936903141029509,156,197.430688835997,1.2655813386922883,True,trial_89
50,0.1,1.0,11,same,static,True,100.0,6.950000000000001,187,241.6049561960026,1.2920051133476076,True,trial_89
50,0.1,1.0,11,same,static,True,100.0,6.949999999999998,188,274.04366469600063,1.4576790675319182,True,trial_89
100,0.1,1.0,11,same,static,True,100.0,6.95,84,231.31565367099756,2.75375778179759,True,trial_28
25,0.1,1.0,11,same,static,False,91.66666666666666,6.370537966798753,400,299.90900016100204,0.7497725004025051,True,trial_89
100,0.1,1.0,11,same,static,True,100.0,6.949999999999999,92,249.35385074199803,2.7103679428478045,True,trial_28
25,0.1,1.0,11,same,static,False,91.66666666666666,6.370833333333333,400,310.38395935000153,0.7759598983750038,True,trial_89
25,0.1,1.0,11,same,static,False,91.66666666666666,6.370833333333335,400,315.9987405710017,0.7899968514275042,True,trial_89
100,0.1,1.0,11,same,static,True,100.0,6.949999999999999,92,260.79349175899915,2.834711866945643,True,trial_28
100,0.1,1.0,11,same,static,True,100.0,6.949999999999999,89,259.28745372100093,2.9133421766404597,True,trial_28
25,0.1,1.0,11,same,static,False,91.66666666666666,6.37053796679875,400,341.6375409220018,0.8540938523050045,True,trial_89
100,0.1,1.0,11,same,static,True,100.0,6.9499999999999975,116,302.3994969279993,2.6068922148965457,True,trial_89
100,0.1,1.0,11,same,static,True,100.0,6.950000000000001,94,245.16773039199688,2.6081673445957114,True,trial_27
50,0.1,1.0,11,same,static,True,100.0,6.84002870934782,231,400.6299297529986,1.734328700229431,True,trial_4
100,0.1,1.0,11,same,static,True,100.0,6.95,85,260.6361090729988,3.066307165564692,True,trial_4
100,0.1,1.0,11,same,static,True,100.0,6.949999999999999,123,331.29310797799917,2.693439902260156,True,trial_89
50,0.1,1.0,11,same,static,False,83.33333333333334,5.79109464266171,400,496.35215917299865,1.2408803979324967,True,trial_27
100,0.1,1.0,11,same,static,True,100.0,6.949746973546696,122,332.83852565800044,2.728184636540987,True,trial_27
100,0.1,1.0,11,same,static,True,100.0,6.95,110,312.4891783100029,2.8408107119091173,True,trial_4
50,0.1,1.0,11,same,static,False,83.33333333333334,5.791442588950792,400,516.5321173680022,1.2913302934200055,True,trial_89
50,0.1,1.0,11,same,static,False,91.66666666666666,6.370833333333334,400,530.2734132779988,1.325683533194997,True,trial_28
100,0.1,1.0,11,same,static,True,100.0,6.949973008977876,124,349.4518444230016,2.8181600356693677,True,trial_4
100,0.1,1.0,11,same,static,True,100.0,6.95,184,499.88533500999984,2.716768125054347,True,trial_89
100,0.1,1.0,11,same,static,True,100.0,6.949999999999998,175,476.5171291410006,2.722955023662861,True,trial_89
50,0.1,1.0,11,same,static,True,100.0,6.949734103907391,305,525.2369177559995,1.7220882549377032,True,trial_4
100,0.1,1.0,11,same,static,True,100.0,6.949999999999999,178,461.3150783790006,2.5916577437022505,True,trial_89
100,0.1,1.0,11,same,static,True,100.0,6.949999999999999,188,549.7764120280008,2.924342617170217,True,trial_28
