LI,EF,DF,HL,rollout_method,hertg_method,done,percent_done,cumulative_reward,num_actions,computation_time,computation_per_action,rollout_pre_collision_stop,trial_config
100,0.1,1.0,6,same,static,True,100.0,6.78263708580018,40,71.38979500999994,1.7847448752499986,True,trial_60
100,0.1,1.0,6,same,static,True,100.0,6.949999999999999,46,74.60438176500611,1.621834386195785,True,trial_92
100,0.1,1.0,6,same,static,True,100.0,6.949111078480857,49,81.8160429999989,1.6697151632652836,True,trial_53
100,0.1,1.0,6,same,static,True,100.0,6.950000000000001,55,89.19081074600399,1.6216511044728,True,trial_92
100,0.1,1.0,6,same,static,True,100.0,6.950000000000001,54,90.75859289900109,1.680714683314835,True,trial_53
100,0.1,1.0,6,same,static,True,100.0,6.949999999999998,57,96.28666680400056,1.689239768491238,True,trial_53
100,0.1,1.0,6,same,static,True,100.0,6.949528819398702,56,96.82379074100027,1.7289962632321476,True,trial_53
100,0.1,1.0,6,same,static,True,100.0,6.950000000000001,68,98.44232328000362,1.4476812247059356,True,trial_92
100,0.1,1.0,6,same,static,True,100.0,6.950000000000001,64,104.47591620699677,1.6324361907343246,True,trial_92
100,0.1,1.0,6,same,static,True,100.0,6.904758900905433,65,105.72211281699856,1.6264940433384394,True,trial_53
100,0.1,1.0,6,same,static,True,100.0,6.9499999999999975,57,109.35299743700307,1.9184736392456678,True,trial_53
100,0.1,1.0,6,same,static,True,100.0,6.949999999999997,69,112.28497061999951,1.6273184147826016,True,trial_92
100,0.1,1.0,6,same,static,True,100.0,6.950000000000001,63,112.39438967499882,1.7840379313491876,True,trial_53
100,0.1,1.0,6,same,static,True,100.0,6.887746065757379,72,115.11721247900277,1.5988501733194829,True,trial_92
100,0.1,1.0,6,same,static,True,100.0,6.950000000000003,74,119.68754179500684,1.6173992134460384,True,trial_86
100,0.1,1.0,6,same,static,True,100.0,6.95,80,122.23896747099934,1.5279870933874917,True,trial_92
100,0.1,1.0,6,same,static,True,100.0,6.950000000000001,77,122.45127717899595,1.5902763269999474,True,trial_92
100,0.1,1.0,6,same,static,True,100.0,6.869284905020279,76,134.63260649300355,1.7714816643816256,True,trial_92
100,0.1,1.0,6,same,static,True,100.0,6.945173297411492,71,139.08797071500157,1.9589855030281913,True,trial_53
100,0.1,1.0,6,same,static,True,100.0,6.948788792897106,82,141.07129420300043,1.7203816366219564,True,trial_53
100,0.1,1.0,6,same,static,True,100.0,6.949999999999999,91,145.92139183999825,1.6035317784615193,True,trial_92
100,0.1,1.0,6,same,static,True,100.0,6.930165948817686,91,154.2242833650016,1.6947723446703473,True,trial_86
100,0.1,1.0,6,same,static,True,100.0,6.95,112,190.2686361829983,1.6988271087767706,True,trial_86
100,0.1,1.0,6,same,static,True,100.0,6.95,46,82.32159144400066,1.7895998140000144,True,trial_69
100,0.1,1.0,6,same,static,True,100.0,6.95,46,83.19526108399441,1.808592632260748,True,trial_69
100,0.1,1.0,6,same,static,True,100.0,6.949999972736438,46,78.05037496300065,1.6967472818043619,True,trial_43
100,0.1,1.0,6,same,static,True,100.0,6.911524342589357,76,120.12071498700243,1.5805357235131898,True,trial_69
100,0.1,1.0,6,same,static,True,100.0,6.95,62,108.01403275800112,1.7421618186774375,True,trial_69
100,0.1,1.0,6,same,static,True,100.0,6.949864112543791,46,81.96382776999963,1.7818223428260789,True,trial_43
100,0.1,1.0,6,same,static,True,100.0,6.911524342589357,76,128.92370172200026,1.6963644963421087,True,trial_69
100,0.1,1.0,6,same,static,True,100.0,6.911524342589357,76,128.97197646600398,1.6969996903421576,True,trial_69
100,0.1,1.0,6,same,static,True,100.0,6.914094770478779,54,102.60612964699976,1.9001135119814772,True,trial_43
100,0.1,1.0,6,same,static,True,100.0,6.944471454326822,76,145.78799441699812,1.9182630844341857,True,trial_60
100,0.1,1.0,6,same,static,True,100.0,6.938504024389998,129,248.9678044109969,1.9299829799302086,True,trial_53
100,0.1,1.0,6,same,static,True,100.0,6.894650554629183,92,174.38967981799942,1.895539998021733,True,trial_60
100,0.1,1.0,6,same,static,True,100.0,6.894650554629183,92,174.77164486299444,1.89969179198907,True,trial_60
100,0.1,1.0,6,same,static,True,100.0,6.921238164349785,91,184.46713457100122,2.0271113689121014,True,trial_60
100,0.1,1.0,6,same,static,True,100.0,6.949987594929709,47,78.91883804399549,1.6791242137020317,True,trial_43
100,0.1,1.0,6,same,static,True,100.0,6.949999999999999,44,73.93520327399892,1.680345528954521,True,trial_43
100,0.1,1.0,6,same,static,True,100.0,6.943092967282427,162,292.15146424799605,1.803404100296272,True,trial_86
100,0.1,1.0,6,same,static,True,100.0,6.949995630059258,148,293.49285158100247,1.9830598079797463,True,trial_60
100,0.1,1.0,6,same,static,True,100.0,6.949593330607579,68,119.15322892199765,1.7522533664999655,True,trial_43
100,0.1,1.0,6,same,static,True,100.0,6.949950688806703,90,157.77280415399582,1.7530311572666202,True,trial_43
100,0.1,1.0,6,same,static,False,75.0,5.148424896248857,200,361.24975998100126,1.8062487999050063,True,trial_86
100,0.1,1.0,6,same,static,True,100.0,6.936992549772525,184,371.46739560399874,2.01884454132608,True,trial_86
100,0.1,1.0,6,same,static,True,100.0,6.798061775227856,176,305.38790499600145,1.7351585511136447,True,trial_60
100,0.1,1.0,6,same,static,True,100.0,6.949919709073098,169,251.30091918600374,1.4869876874911463,True,trial_69
100,0.1,1.0,6,same,static,False,75.0,5.209196844455536,200,387.65576573,1.93827882865,True,trial_86
100,0.1,1.0,6,same,static,True,100.0,6.950000000000001,116,157.87751838999975,1.3610130895689634,True,trial_24
100,0.1,1.0,6,same,static,True,100.0,6.949986868012129,111,211.22723234000296,1.9029480390991258,True,trial_43
100,0.1,1.0,6,same,static,True,100.0,6.949999999999999,115,168.481777771005,1.465058937139174,True,trial_24
