LI,EF,DF,HL,rollout_method,hertg_method,done,percent_done,cumulative_reward,num_actions,computation_time,computation_per_action
100,0.1,1.0,6,random,static,True,100.0,6.95,72,132.63624849400003,1.8421701179722225
100,0.1,1.0,6,random,static,True,100.0,6.95,72,133.34165473500025,1.8519674268750035
100,0.1,1.0,6,random,static,True,100.0,6.95,72,135.20308237399968,1.8778205885277732
100,0.1,1.0,6,random,static,True,100.0,6.95,72,136.18347079500018,1.8914370943750025
100,0.1,1.0,6,random,static,True,100.0,6.95,72,136.47899237599995,1.895541560777777
100,0.1,1.0,6,random,static,True,100.0,6.95,72,136.59386971899994,1.8971370794305547
100,0.1,1.0,6,random,static,True,100.0,6.95,72,136.95776941899976,1.9021912419305522
100,0.1,1.0,6,random,static,True,100.0,6.95,72,137.01124758700007,1.9029339942638899
100,0.1,1.0,6,random,static,True,100.0,6.95,72,138.05199796999977,1.9173888606944414
100,0.1,1.0,6,random,static,True,100.0,6.95,72,138.7346454909998,1.9268700762638862
100,0.1,1.0,6,random,static,True,100.0,6.95,72,138.85531334200004,1.9285460186388894
100,0.1,1.0,6,random,static,True,100.0,6.95,72,139.12622952300035,1.9323087433750048
100,0.1,1.0,6,random,static,True,100.0,6.95,72,139.12111115800008,1.9322376549722233
100,0.1,1.0,6,random,static,True,100.0,6.95,72,140.44950407700026,1.9506875566250035
100,0.1,1.0,6,random,static,True,100.0,6.95,72,141.4900481259997,1.9651395573055512
100,0.1,1.0,6,random,static,True,100.0,6.95,72,141.5440162470004,1.9658891145416721
100,0.1,1.0,6,random,static,True,100.0,6.95,72,141.94435121800007,1.9714493224722232
100,0.1,1.0,6,random,static,True,100.0,6.95,72,142.045122729,1.972848926791667
100,0.1,1.0,6,random,static,True,100.0,6.95,72,142.77691839,1.9830127554166666
100,0.1,1.0,6,random,static,True,100.0,6.95,72,143.22460713300006,1.989230654625001
100,0.1,1.0,6,random,static,True,100.0,6.95,72,143.33965472599994,1.9908285378611101
100,0.1,1.0,6,random,static,True,100.0,6.95,72,143.9548101710002,1.9993723634861138
100,0.1,1.0,6,random,static,True,100.0,6.95,72,143.90470563300005,1.9986764671250006
100,0.1,1.0,6,random,static,True,100.0,6.95,72,144.2942039290001,2.004086165680557
100,0.1,1.0,6,random,static,True,100.0,6.95,72,146.12551394899992,2.0295210270694435
