LI,EF,DF,HL,rollout_method,hertg_method,done,percent_done,cumulative_reward,num_actions,computation_time,computation_per_action,trial_config
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,78,104.98789277799915,1.3459986253589635,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.91664437491303,95,117.22864690799906,1.233985756926306,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.948900512499112,114,156.14227733199914,1.3696690994035012,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.948534635658419,90,107.13834833599867,1.1904260926222074,trial_0
100,0.1,1.0,6,random,static,False,75.0,5.212500000000001,200,270.0457010909995,1.3502285054549974,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.948534635658419,90,109.92274278999867,1.221363808777763,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.946395151634205,95,118.7238431249989,1.2497246644736726,trial_0
100,0.1,1.0,6,random,static,False,75.0,5.2125,200,246.79378852800073,1.2339689426400036,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.946395151634205,95,130.3494580480001,1.3720995584000009,trial_0
100,0.1,1.0,6,random,static,False,75.0,5.212500000000001,200,252.08970967800087,1.2604485483900043,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.94980308180865,102,127.32251387299948,1.2482599399313674,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.918440873903398,87,115.77589627700036,1.3307574284712684,trial_0
100,0.1,1.0,6,random,static,False,83.33333333333334,5.777897303306646,200,172.0359335330013,0.8601796676650065,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949998120758681,82,104.86474133499905,1.278838308963403,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,90,116.91586893800013,1.2990652104222238,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.948534635658419,90,127.39026379200004,1.4154473754666672,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,90,108.22967098700065,1.2025518998555627,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.920890000743877,148,173.98553136400005,1.175577914621622,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.920890000743877,148,171.25540271499995,1.1571310994256754,trial_0
100,0.1,1.0,6,random,static,False,75.0,5.2125,200,243.23725784499948,1.2161862892249973,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.920890000743877,148,165.87189776800005,1.1207560660000004,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,97,153.77283182000065,1.585286925979388,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.927620043272678,102,124.24837783200019,1.2181213512941196,trial_0
100,0.1,1.0,6,random,static,False,75.0,5.2125,200,267.83854717599934,1.3391927358799967,trial_0
100,0.1,1.0,6,random,static,False,83.33333333333334,5.777897303306646,200,157.75834172400027,0.7887917086200014,trial_0
100,0.1,1.0,6,random,static,False,83.33333333333334,5.777897303306646,200,156.74237601999994,0.7837118800999997,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,90,112.42105605899997,1.2491228450999996,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.896670412362733,93,98.81946706800045,1.0625749147096823,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.370833333333333,200,232.31370029299978,1.161568501464999,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949171984639685,103,117.87945322700034,1.1444607109417508,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.366977447033062,200,203.49893401200097,1.017494670060005,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.906018813172412,85,79.19626465699912,0.9317207606705779,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949421613395567,93,101.14053706300001,1.0875326565913979,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.930482303433831,102,103.35860114500065,1.0133196190686338,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,87,82.53662903199984,0.9486968854252855,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.896670412362733,93,88.73658161200001,0.9541567915268818,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,87,80.46947939999882,0.9249365448275726,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.950000000000002,105,97.96078972099895,0.9329599021047519,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.920890000743877,148,154.47396330499942,1.04374299530405,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.930482303433831,102,95.20802917199944,0.9334120507058769,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.928185809182184,92,81.59557015099927,0.8869083712065138,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.353654096383919,200,187.88083246099995,0.9394041623049998,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.356125353165444,200,161.448069424001,0.807240347120005,trial_0
100,0.1,1.0,6,random,static,False,75.0,5.2125,200,204.21012512400011,1.0210506256200005,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.34044969545509,200,116.70609619700008,0.5835304809850004,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.353654096383919,200,150.18446970400146,0.7509223485200073,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.370796597976321,200,147.01502109799912,0.7350751054899957,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.370796597976321,200,142.2474882280003,0.7112374411400014,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.356125353165444,200,134.02164635999907,0.6701082317999953,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.349153504738869,200,124.21537622899996,0.6210768811449998,trial_0
