LI,EF,DF,HL,rollout_method,hertg_method,done,percent_done,cumulative_reward,num_actions,computation_time,computation_per_action,rollout_pre_collision_stop,trial_config
25,0.1,1.0,6,same,static,True,100.0,6.946242397655303,41,22.953080524999677,0.5598312323170653,True,trial_48
25,0.1,1.0,6,same,static,True,100.0,6.946242397655305,41,23.65149697599918,0.576865779902419,True,trial_48
25,0.1,1.0,6,same,static,True,100.0,6.94992173940153,42,24.256766456997866,0.5775420584999492,True,trial_48
25,0.1,1.0,6,same,static,True,100.0,6.946242397655306,41,24.87384669200037,0.6066791876097651,True,trial_48
50,0.1,1.0,6,same,static,True,100.0,6.819208443202494,29,25.141690489999746,0.8669548444827498,True,trial_48
25,0.1,1.0,6,same,static,True,100.0,6.9456198966150975,41,31.275994013001764,0.7628291222683357,True,trial_48
25,0.1,1.0,6,same,static,True,100.0,6.9333421820012555,73,31.715309030001663,0.43445628808221454,True,trial_93
50,0.1,1.0,6,same,static,True,100.0,6.807226872802149,31,33.465043488002266,1.0795175318710408,True,trial_48
25,0.1,1.0,6,same,static,True,100.0,6.933342182001256,73,33.681832515998394,0.46139496597258073,True,trial_93
25,0.1,1.0,6,same,static,True,100.0,6.933342182001254,73,34.4667887550022,0.4721477911644137,True,trial_93
25,0.1,1.0,6,same,static,True,100.0,6.933342182001253,73,36.195802670001285,0.49583291328768886,True,trial_93
50,0.1,1.0,6,same,static,True,100.0,6.949984317143589,36,36.2630380720002,1.0073066131111166,True,trial_48
50,0.1,1.0,6,same,static,True,100.0,6.857252525702211,39,37.443196104999515,0.960081951410244,True,trial_48
25,0.1,1.0,6,same,static,True,100.0,6.752544340549317,89,40.739949104001425,0.4577522371236115,True,trial_27
50,0.1,1.0,6,same,static,True,100.0,6.908294137949878,43,43.90038668100169,1.0209392251395741,True,trial_96
50,0.1,1.0,6,same,static,True,100.0,6.845471332689827,70,61.13636813300036,0.8733766876142909,True,trial_93
50,0.1,1.0,6,same,static,True,100.0,6.920676324546899,65,47.94502975700016,0.737615842415387,True,trial_27
50,0.1,1.0,6,same,static,True,100.0,6.94651089132673,76,76.5494692229986,1.00722985819735,True,trial_93
50,0.1,1.0,6,same,static,True,100.0,6.930027711615244,58,54.52292885800125,0.9400504975517457,True,trial_96
50,0.1,1.0,6,same,static,True,100.0,6.928851609267124,62,58.15240375999929,0.9379419961290207,True,trial_96
50,0.1,1.0,6,same,static,True,100.0,6.936532836627871,74,88.0749290729982,1.1902017442297055,True,trial_93
50,0.1,1.0,6,same,static,True,100.0,6.920676324546899,65,58.715228113000194,0.9033112017384646,True,trial_27
25,0.1,1.0,6,same,static,False,91.66666666666666,6.309533368671265,400,90.78414265199899,0.22696035662999747,True,trial_96
25,0.1,1.0,6,same,static,False,91.66666666666666,6.309533368671265,400,92.08759159699912,0.2302189789924978,True,trial_96
25,0.1,1.0,6,same,static,False,91.66666666666666,6.309533368671264,400,92.2000356790013,0.23050008919750326,True,trial_96
25,0.1,1.0,6,same,static,False,91.66666666666666,6.309533368671265,400,92.19962316499732,0.2304990579124933,True,trial_96
50,0.1,1.0,6,same,static,True,100.0,6.843450121902807,80,61.46975469699828,0.7683719337124785,True,trial_27
100,0.1,1.0,6,same,static,True,100.0,6.949999999999999,43,67.54279852699983,1.5707627564418565,True,trial_93
50,0.1,1.0,6,same,static,True,100.0,6.848927035482779,87,74.08109364600023,0.8515068235172439,True,trial_27
100,0.1,1.0,6,same,static,True,100.0,6.95,50,85.62072513999738,1.7124145027999476,True,trial_93
25,0.1,1.0,6,same,static,False,91.66666666666666,6.3693977890391436,400,150.92748613799995,0.3773187153449999,True,trial_93
100,0.1,1.0,6,same,static,True,100.0,6.886494716337477,45,75.82739219700306,1.6850531599334013,True,trial_96
100,0.1,1.0,6,same,static,True,100.0,6.9498336983709885,92,131.242796945,1.4265521407065218,True,trial_93
100,0.1,1.0,6,same,static,True,100.0,6.941956928548914,56,97.43290752900066,1.7398733487321547,True,trial_48
25,0.1,1.0,6,same,static,False,83.33333333333334,5.662395702737125,400,172.98455396400095,0.43246138491000236,True,trial_27
25,0.1,1.0,6,same,static,False,83.33333333333334,5.6623957027371254,400,179.6469870209985,0.44911746755249626,True,trial_27
100,0.1,1.0,6,same,static,True,100.0,6.950000000000002,45,93.33869753000181,2.0741932784444845,True,trial_96
25,0.1,1.0,6,same,static,False,83.33333333333334,5.662395702737123,400,187.57137750299808,0.4689284437574952,True,trial_27
100,0.1,1.0,6,same,static,True,100.0,6.869136048151855,65,99.8025480920005,1.5354238168000078,True,trial_96
25,0.1,1.0,6,same,static,False,83.33333333333334,5.662395702737125,400,195.9702293850023,0.48992557346250576,True,trial_27
50,0.1,1.0,6,same,static,True,100.0,6.949971988619615,256,198.90499668600023,0.7769726433046884,True,trial_93
100,0.1,1.0,6,same,static,True,100.0,6.95,83,115.01104887100155,1.3856752876024283,True,trial_27
100,0.1,1.0,6,same,static,True,100.0,6.949999999999998,69,130.842823529998,1.8962728047825794,True,trial_48
100,0.1,1.0,6,same,static,True,100.0,6.949970892641858,128,178.14928212000086,1.3917912665625067,True,trial_93
100,0.1,1.0,6,same,static,True,100.0,6.95,83,132.16351151300114,1.5923314640120618,True,trial_27
100,0.1,1.0,6,same,static,True,100.0,6.916744686279654,61,134.68896620500163,2.208015839426256,True,trial_96
100,0.1,1.0,6,same,static,True,100.0,6.949970892641858,128,191.16548159800004,1.4934803249843753,True,trial_93
100,0.1,1.0,6,same,static,True,100.0,6.941350574064397,159,174.41384187899894,1.0969424017547103,True,trial_96
50,0.1,1.0,6,same,static,True,100.0,6.94981022850135,325,259.4703447860011,0.7983702916492341,True,trial_48
200,0.1,1.0,6,same,static,True,100.0,6.950000000000001,48,152.01455654099846,3.1669699279374677,True,trial_93
50,0.1,1.0,6,same,static,False,91.66666666666666,6.370774536829317,400,274.39027103099943,0.6859756775774986,True,trial_93
200,0.1,1.0,6,same,static,True,100.0,6.949999999999999,54,157.93397123400064,2.924703171000012,True,trial_48
25,0.1,1.0,6,same,static,False,75.0,5.2124999999999995,400,331.1922921389996,0.8279807303474991,True,trial_96
100,0.1,1.0,6,same,static,True,100.0,6.933748690595141,148,310.4982765079985,2.097961327756747,True,trial_48
200,0.1,1.0,6,same,static,True,100.0,6.946959449322918,52,186.0016730440002,3.5769552508461575,True,trial_48
200,0.1,1.0,6,same,static,True,100.0,6.932707812869817,55,184.35746214200117,3.351953857127294,True,trial_96
200,0.1,1.0,6,same,static,True,100.0,6.949999999999999,83,242.38465998099855,2.9202971082048017,True,trial_93
200,0.1,1.0,6,same,static,True,100.0,6.886446005549864,75,223.09820444499928,2.974642725933324,True,trial_96
100,0.1,1.0,6,same,static,True,100.0,6.945233281112467,259,335.24328832000174,1.2943756305791574,True,trial_27
100,0.1,1.0,6,same,static,True,100.0,6.944523106030311,262,357.9569029500017,1.3662477211832125,True,trial_27
200,0.1,1.0,6,same,static,True,100.0,6.931279815250952,110,244.38753082100084,2.221704825645462,True,trial_96
100,0.1,1.0,6,same,static,True,100.0,6.942324663235717,248,401.1798123109984,1.6176605335120902,True,trial_48
100,0.1,1.0,6,same,static,True,100.0,6.944523106030311,262,365.3664315669994,1.3945283647595397,True,trial_27
200,0.1,1.0,6,same,static,True,100.0,6.926113428643591,93,281.21066227900155,3.0237705621398017,True,trial_96
200,0.1,1.0,6,same,static,True,100.0,6.914331320779983,102,358.65582008300044,3.5162335302254943,True,trial_93
50,0.1,1.0,6,same,static,False,75.0,5.123996526278127,400,456.42605467100293,1.1410651366775073,True,trial_27
50,0.1,1.0,6,same,static,False,75.0,5.212431357230517,400,458.8106883649998,1.1470267209124996,True,trial_96
200,0.1,1.0,6,same,static,True,100.0,6.930141931213413,84,257.7006295400024,3.067864637380981,True,trial_27
100,0.1,1.0,6,same,static,True,100.0,6.948909532751616,261,448.9984574909977,1.7203006034137842,True,trial_48
200,0.1,1.0,6,same,static,True,100.0,6.9108718307846555,93,246.3108838879998,2.648504127827955,True,trial_27
200,0.1,1.0,6,same,static,True,100.0,6.94945576163709,87,280.7129794600005,3.2265859708046034,True,trial_27
50,0.1,1.0,6,same,static,False,75.0,5.212456664209272,400,533.3831433299965,1.3334578583249914,True,trial_96
200,0.1,1.0,6,same,static,True,100.0,6.949471425066684,105,335.78791920000003,3.197980182857143,True,trial_27
200,0.1,1.0,6,same,static,True,100.0,6.891552929010775,118,392.0604223079972,3.322545951762688,True,trial_48
200,0.1,1.0,6,same,static,True,100.0,6.949999542481555,121,417.5768888089988,3.451048667842965,True,trial_48
200,0.1,1.0,6,same,static,True,100.0,6.94993220991234,158,423.0784180570008,2.6777115066898785,True,trial_27
400,0.1,1.0,6,same,static,True,100.0,6.946840144435719,57,290.1727708949984,5.090750366578919,True,trial_48
200,0.1,1.0,6,same,static,True,100.0,6.947771576149447,144,451.0679290250009,3.1324161737847285,True,trial_96
400,0.1,1.0,6,same,static,True,100.0,6.948758684383605,92,404.08938896700056,4.392275967032615,True,trial_93
400,0.1,1.0,6,same,static,True,100.0,6.948758684383605,92,420.73577377900074,4.573214932380443,True,trial_93
200,0.1,1.0,6,same,static,True,100.0,6.950000000000002,184,540.9747541249999,2.940080185461956,True,trial_93
400,0.1,1.0,6,same,static,True,100.0,6.95,76,365.13835791699967,4.804452077855259,True,trial_93
400,0.1,1.0,6,same,static,True,100.0,6.949752675976431,52,290.684544284999,5.5900873900961345,True,trial_48
400,0.1,1.0,6,same,static,True,100.0,6.950000000000001,50,261.2306293090005,5.22461258618001,True,trial_96
200,0.1,1.0,6,same,static,True,100.0,6.93622726300994,223,586.8625838029984,2.6316707793856433,True,trial_93
200,0.1,1.0,6,same,static,True,100.0,6.950000000000001,208,570.7036484000018,2.7437675403846242,True,trial_48
400,0.1,1.0,6,same,static,True,100.0,6.949970944654019,79,332.3641119629974,4.207140657759461,True,trial_48
400,0.1,1.0,6,same,static,True,100.0,6.8945236584211145,79,274.6708030339978,3.4768456080252887,True,trial_27
400,0.1,1.0,6,same,static,True,100.0,6.936798323987375,86,326.1672526520015,3.7926424726976915,True,trial_96
400,0.1,1.0,6,same,static,True,100.0,6.939343871919781,98,331.61071092600105,3.383782764551031,True,trial_27
400,0.1,1.0,6,same,static,True,100.0,6.869043814086002,116,340.15402483899743,2.9323622830948053,True,trial_27
400,0.1,1.0,6,same,static,True,100.0,6.795378634970033,116,374.80517179100207,3.2310790671638108,True,trial_27
400,0.1,1.0,6,same,static,True,100.0,6.949369534171059,125,396.6414260649981,3.1731314085199847,True,trial_96
400,0.1,1.0,6,same,static,True,100.0,6.948836533577125,146,430.2214404680017,2.9467221949863127,True,trial_96
400,0.1,1.0,6,same,static,True,100.0,6.945816436491649,204,690.3582820789998,3.3841092258774497,True,trial_93
400,0.1,1.0,6,same,static,True,100.0,6.949999999999999,184,590.8279929630007,3.2110217008858735,True,trial_48
400,0.1,1.0,6,same,static,True,100.0,6.938302698700077,184,498.05141740399995,2.706801181543478,True,trial_27
400,0.1,1.0,6,same,static,True,100.0,6.949982574518464,223,635.6584843590026,2.8504864769462,True,trial_48
400,0.1,1.0,6,same,static,True,100.0,6.949999999999997,224,671.4105685880022,2.997368609767867,True,trial_93
400,0.1,1.0,6,same,static,True,100.0,6.949830539316503,271,610.4269340430001,2.252497911597786,True,trial_96
