LI,EF,DF,HL,rollout_method,hertg_method,done,percent_done,cumulative_reward,num_actions,computation_time,computation_per_action,rollout_pre_collision_stop,collision_failure,trial_config
200,0.1,1.0,6,random_same,static,False,69.89583194473181,0.7281338096637799,12,38.29398984599902,3.1911658204999185,False,True,trial_46
200,0.1,1.0,6,random_same,static,True,100.0,1.1448026210207543,136,357.1982361049995,2.626457618419114,False,False,trial_60
200,0.1,1.0,6,random_same,static,True,100.0,1.1754105145734406,149,399.0990019439996,2.678516791570467,False,False,trial_45
200,0.1,1.0,6,random_same,static,True,100.0,1.1646371619396476,165,408.10916994200306,2.4733889087394125,False,False,trial_45
200,0.1,1.0,6,random_same,static,True,100.0,1.1535701418890612,162,426.46727676599767,2.6325140541110965,False,False,trial_45
200,0.1,1.0,6,random_same,static,True,100.0,1.1893633580223366,160,443.6799736749999,2.7729998354687497,False,False,trial_45
200,0.1,1.0,6,random_same,static,True,100.0,1.166741457796858,63,185.91518251499656,2.9510346430951833,False,False,trial_46
200,0.1,1.0,6,random_same,static,True,100.0,1.1712660682916967,96,264.14943576699807,2.7515566225728967,False,False,trial_51
200,0.1,1.0,6,random_same,static,True,100.0,1.1822390135205054,168,490.83854944999985,2.921658032440475,False,False,trial_60
200,0.1,1.0,6,random_same,static,True,100.0,1.1890209827463079,91,268.66582725800254,2.952371728109918,False,False,trial_51
200,0.1,1.0,6,random_same,static,True,100.0,1.1868308962401748,102,308.36886580499777,3.0232241745588015,False,False,trial_51
200,0.1,1.0,6,random_same,static,True,100.0,1.1871109638920068,93,252.99488211999778,2.720375076559116,False,False,trial_51
200,0.1,1.0,6,random_same,static,True,100.0,1.1624819155197224,101,299.53619613699993,2.9657049122475243,False,False,trial_51
200,0.1,1.0,6,random_same,static,True,100.0,1.189205921746091,95,265.92449586399744,2.7992052196210255,False,False,trial_51
200,0.1,1.0,6,random_same,static,True,100.0,1.1858595409039736,76,230.2285145729984,3.0293225601710314,False,False,trial_46
200,0.1,1.0,6,random_same,static,True,100.0,1.1883301595461468,91,263.1321852610017,2.8915624753956233,False,False,trial_51
200,0.1,1.0,6,random_same,static,True,100.0,1.170900971103521,78,257.45864902299945,3.300751910551275,False,False,trial_46
200,0.1,1.0,6,random_same,static,True,100.0,1.189788858282536,93,271.2736162859983,2.916920605225788,False,False,trial_51
200,0.1,1.0,6,random_same,static,True,100.0,1.1790616378933167,75,218.69131262999872,2.915884168399983,False,False,trial_46
200,0.1,1.0,6,random_same,static,True,100.0,1.1766496633053867,70,226.20186892999845,3.2314552704285493,False,False,trial_46
200,0.1,1.0,6,random_same,static,True,100.0,1.17957648369686,81,264.6207449760004,3.266922777481487,False,False,trial_46
200,0.1,1.0,6,random_same,static,True,100.0,1.187268387254104,139,390.9599052929989,2.8126611891582654,False,False,trial_51
200,0.1,1.0,6,random_same,static,True,100.0,1.187268387254104,139,420.0851614259991,3.0221954059424396,False,False,trial_51
200,0.1,1.0,6,random_same,dynamic,True,100.0,1.188618311224567,61,165.19361827600005,2.7080921028852467,False,False,trial_45
200,0.1,1.0,6,random_same,static,True,100.0,1.182276582402548,231,654.2255819249986,2.832145376298695,False,False,trial_60
200,0.1,1.0,6,random_same,static,True,100.0,1.1801323047307075,147,466.970189620999,3.1766679566054354,False,False,trial_51
200,0.1,1.0,6,random_same,static,True,100.0,1.1829977708601092,77,236.5229385599996,3.07172647480519,False,False,trial_46
200,0.1,1.0,6,random_same,dynamic,True,100.0,1.1811103617670464,64,177.40046574900043,2.7718822773281317,False,False,trial_45
200,0.1,1.0,6,random_same,dynamic,True,100.0,1.1811103617670464,64,176.89203351800097,2.763938023718765,False,False,trial_45
200,0.1,1.0,6,random_same,static,True,100.0,1.1833080058931773,84,281.5620991889991,3.3519297522499896,False,False,trial_46
200,0.1,1.0,6,random_same,static,True,100.0,1.1723683828339804,102,332.55762830299864,3.2603689049313593,False,False,trial_46
200,0.1,1.0,6,random_same,static,True,100.0,1.184421374859269,252,689.6332967940034,2.7366400666428707,False,False,trial_60
200,0.1,1.0,6,random_same,dynamic,True,100.0,1.1885747012037764,87,238.7151637370007,2.7438524567471343,False,False,trial_45
200,0.1,1.0,6,random_same,static,True,100.0,1.1833080058931773,84,290.02805725600047,3.452714967333339,False,False,trial_46
200,0.1,1.0,6,random_same,dynamic,True,100.0,1.181194922045089,66,185.4136909789995,2.809298348166659,False,False,trial_45
200,0.1,1.0,6,random_same,static,True,100.0,1.14507690883808,228,743.5522815250006,3.2611942172149146,False,False,trial_60
200,0.1,1.0,6,random_same,static,True,100.0,1.1696009358491286,143,393.1013423370023,2.748960435923093,False,False,trial_46
