LI,EF,DF,rollout_method,hertg_method,done,percent_done,cumulative_reward,num_actions,computation_time,computation_per_action
100,0.1,1.0,random,static,True,100.0,6.95,72,135.078515404,1.8760904917222223
100,0.1,1.0,random,static,True,100.0,6.95,72,139.892669505,1.942953743125
100,0.1,1.0,random,static,True,100.0,6.95,72,140.80688181800002,1.9556511363611113
100,0.1,1.0,random,static,True,100.0,6.95,72,141.683490449,1.967826256236111
100,0.1,1.0,random,static,True,100.0,6.95,72,142.924961316,1.9850689071666667
100,0.1,1.0,random,static,True,100.0,6.95,72,143.232559192,1.9893410998888887
100,0.1,1.0,random,static,True,100.0,6.95,72,145.273188823,2.017683178097222
100,0.1,1.0,random,static,True,100.0,6.95,72,151.442103586,2.1033625498055555
100,0.1,1.0,random,static,True,100.0,6.95,72,152.42361210399997,2.116994612555555
100,0.1,1.0,random,static,True,100.0,6.95,72,153.275725141,2.1288295158472224
100,0.1,1.0,zero,static,True,100.0,6.923484752338502,89,170.10263749400002,1.9112655898202249
100,0.1,1.0,zero,static,True,100.0,6.923484752338502,89,185.989041509,2.0897645113370786
100,0.1,1.0,same,static,True,100.0,6.949996240382449,113,208.17484481999998,1.842255263893805
100,0.1,1.0,same,static,True,100.0,6.949996240382449,113,209.993763296,1.8583518875752212
100,0.1,1.0,same,static,True,100.0,6.949996240382449,113,213.374597608,1.8882707752920354
100,0.1,1.0,same,static,True,100.0,6.949996240382449,113,213.920149733,1.8930986702035397
100,0.1,1.0,same,static,True,100.0,6.949996240382449,113,215.04695017499998,1.9030703555309731
100,0.1,1.0,same,static,True,100.0,6.949996240382449,113,215.30195478599998,1.9053270335044246
100,0.1,1.0,same,static,True,100.0,6.949996240382449,113,219.525527464,1.9427037828672566
100,0.1,1.0,same,static,True,100.0,6.949996240382449,113,221.35449041000004,1.9588892956637172
100,0.1,1.0,same,static,True,100.0,6.949996240382449,113,226.809705498,2.007165535380531
100,0.1,1.0,same,static,True,100.0,6.949996240382449,113,235.78560038599997,2.0865982335044246
100,0.1,1.0,accelerate,static,True,100.0,6.861467297488786,119,176.26610681499997,1.4812277883613443
100,0.1,1.0,accelerate,static,True,100.0,6.861467297488786,119,183.488856848,1.541923166789916
100,0.1,1.0,accelerate,static,True,100.0,6.949999999999998,76,127.43007835499998,1.6767115573026312
100,0.1,1.0,accelerate,static,True,100.0,6.949999999999998,76,131.803692528,1.7342591122105262
100,0.1,1.0,accelerate,static,True,100.0,6.949999999999998,76,128.225694643,1.6871801926710526
100,0.1,1.0,accelerate,static,True,100.0,6.949999999999998,76,136.00664738799998,1.789561149842105
100,0.1,1.0,accelerate,static,True,100.0,6.949999999999998,76,130.65771750199997,1.719180493447368
100,0.1,1.0,accelerate,static,True,100.0,6.949999999999998,76,132.899852555,1.7486822704605263
100,0.1,1.0,accelerate,static,True,100.0,6.9388377007312965,106,180.174035236,1.6997550493962266
100,0.1,1.0,accelerate,static,True,100.0,6.9388377007312965,106,179.22848574100004,1.69083477114151
100,0.1,1.0,zero,static,False,81.49083525827731,5.248452769840938,200,260.369673689,1.3018483684450002
100,0.1,1.0,zero,static,False,81.49083525827731,5.248452769840938,200,252.455042244,1.26227521122
100,0.1,1.0,zero,static,False,81.49083525827731,5.248452769840938,200,255.72772715,1.27863863575
100,0.1,1.0,zero,static,False,81.49083525827731,5.248452769840938,200,260.14198748,1.3007099374
100,0.1,1.0,zero,static,False,81.49083525827731,5.248452769840938,200,249.34327228200002,1.24671636141
100,0.1,1.0,zero,static,False,81.49083525827731,5.248452769840938,200,255.86624782099997,1.2793312391049998
100,0.1,1.0,zero,static,False,81.49083525827731,5.248452769840938,200,259.346086583,1.296730432915
100,0.1,1.0,zero,static,False,81.49083525827731,5.248452769840938,200,262.892899187,1.314464495935
100,0.1,1.0,random_same,static,False,91.66666666666666,6.315813292440007,200,431.13686667,2.15568433335
100,0.1,1.0,random_same,static,False,91.66666666666666,6.315813292440007,200,431.17936971000006,2.1558968485500003
100,0.1,1.0,random_same,static,False,91.66666666666666,6.315813292440007,200,431.359767483,2.156798837415
100,0.1,1.0,random_same,static,False,91.66666666666666,6.315813292440007,200,432.322066709,2.161610333545
100,0.1,1.0,random_same,static,False,91.66666666666666,6.315813292440007,200,433.599415432,2.16799707716
100,0.1,1.0,random_same,static,False,91.66666666666666,6.315813292440007,200,434.33312909599994,2.1716656454799996
100,0.1,1.0,random_same,static,False,91.66666666666666,6.315813292440007,200,435.685583474,2.17842791737
100,0.1,1.0,random_same,static,False,91.66666666666666,6.315813292440007,200,435.883702438,2.17941851219
100,0.1,1.0,random_same,static,False,91.66666666666666,6.315813292440007,200,437.11875143500004,2.1855937571750004
100,0.1,1.0,random_same,static,False,91.66666666666666,6.315813292440007,200,439.634598725,2.198172993625
