LI,EF,DF,HL,rollout_method,hertg_method,done,percent_done,cumulative_reward,num_actions,computation_time,computation_per_action,trial_config
100,0.1,1.0,6,random,static,True,100.0,6.95,57,66.30518340900016,1.163248831736845,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,63,84.55143000999851,1.342086190634897,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,56,85.41667692600095,1.525297802250017,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,58,86.85732847700092,1.4975401461551883,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.950000000000003,60,87.78483940300066,1.4630806567166776,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,60,89.38482162900073,1.4897470271500122,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.95,61,89.54648360000101,1.467975140983623,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.95,58,92.7847006030006,1.5997362172931138,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,63,94.0376301870001,1.4926607966190493,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,65,94.0581343520007,1.4470482208000108,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,71,95.7960369700013,1.349239957323962,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.94835793267659,71,99.15286958700017,1.3965192899577488,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.949999999999998,72,100.21802686600131,1.3919170398055738,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,73,100.82569328499994,1.3811738806164375,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,68,100.83606157299982,1.482883258426468,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.943446374753386,76,101.54161239600035,1.336073847315794,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.948969605390552,73,101.97862056899976,1.3969674050547911,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.95,74,102.35701995700038,1.383202972391897,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.887890694384664,75,106.71980104499926,1.4229306805999902,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.942823405901711,77,107.94530422300159,1.4018870678311894,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.9294490169807474,76,108.14595303100032,1.4229730661973725,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.896025943637351,80,108.44299387899991,1.3555374234874988,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.934647716493236,74,113.8145006729992,1.5380337928783676,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.937932322528608,78,114.72506295600033,1.4708341404615426,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.949998629189138,86,122.02658545200029,1.4189137843255848,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,58,86.80218883000089,1.4965894625862222,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.95,64,85.44534400299926,1.3350835000468635,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.886072096755551,47,72.0730664090006,1.5334694980638426,trial_14
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,65,97.63432602499961,1.5020665542307632,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.924198205659229,49,74.99314152400075,1.5304722760000153,trial_14
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,65,97.21811792100016,1.4956633526307717,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,73,102.17094796199854,1.3996020268766922,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,53,81.60108254699844,1.539643066924499,trial_14
100,0.1,1.0,6,random,static,True,100.0,6.95,64,87.40285131400015,1.3656695517812523,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.942164037751339,47,69.9476936659994,1.4882488014042425,trial_14
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,53,85.68763374899936,1.6167478065848937,trial_14
100,0.1,1.0,6,random,static,True,100.0,6.940296735047966,81,112.22033053199993,1.3854361794074066,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.942823405901711,77,114.24519038700055,1.4837037712597474,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.940296735047966,81,110.1834246010003,1.3602891926049419,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.942823405901711,77,109.41640136800015,1.4209922255584435,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.95,53,100.0533474570002,1.8877990086226453,trial_14
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,53,82.02425466099885,1.5476274464339406,trial_14
100,0.1,1.0,6,random,static,False,91.66666666666666,6.370805088290577,200,237.28542979800113,1.1864271489900056,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.95,40,56.12430936900091,1.4031077342250229,trial_14
100,0.1,1.0,6,random,static,False,91.66666666666666,6.370833333333334,200,246.38544338199972,1.2319272169099986,trial_13
100,0.1,1.0,6,random,static,False,91.66666666666666,6.3708333333333345,200,247.38117022499864,1.2369058511249933,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,54,74.22857224200015,1.3746031896666695,trial_14
100,0.1,1.0,6,random,static,True,100.0,6.95,50,78.11598543199943,1.5623197086399887,trial_14
100,0.1,1.0,6,random,static,True,100.0,6.917703641111331,118,157.88431708899952,1.3380026871949111,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.851811375677361,42,68.85271858099986,1.6393504424047587,trial_14
100,0.1,1.0,6,random,static,True,100.0,6.812472677253491,119,148.0788668589994,1.2443602257058772,trial_14
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,52,81.49985884400121,1.567304977769254,trial_14
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,53,83.36193552600162,1.5728667080377663,trial_14
100,0.1,1.0,6,random,static,True,100.0,6.95,54,87.8874018610004,1.6275444789074147,trial_14
100,0.1,1.0,6,random,static,True,100.0,6.95,54,84.95260800899996,1.5731964446111104,trial_14
100,0.1,1.0,6,random,static,True,100.0,6.95,54,88.47023350500058,1.6383376575000108,trial_14
100,0.1,1.0,6,random,static,True,100.0,6.909081077261193,188,279.13701415499963,1.484771351888296,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.95,49,75.30277952600045,1.5367914188979683,trial_14
100,0.1,1.0,6,random,static,False,91.66666666666666,6.370833333333334,200,286.06933170699995,1.4303466585349998,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.929068703964567,51,80.58475229100077,1.5800931821764856,trial_14
100,0.1,1.0,6,random,static,True,100.0,6.95,53,85.08040976099983,1.605290750207544,trial_14
100,0.1,1.0,6,random,static,True,100.0,6.95,54,87.43668052999965,1.619197787592586,trial_14
100,0.1,1.0,6,random,static,True,100.0,6.9499999999999975,59,96.26661366200096,1.6316375196949315,trial_14
