LI,EF,DF,HL,rollout_method,hertg_method,done,percent_done,cumulative_reward,num_actions,computation_time,computation_per_action,rollout_pre_collision_stop,trial_config
25,0.1,1.0,13,same,static,True,100.0,6.95,55,59.7532243339997,1.0864222606181764,True,trial_46
25,0.1,1.0,13,same,static,True,100.0,6.949972315797038,78,75.61985285699984,0.9694852930384595,True,trial_60
25,0.1,1.0,13,same,static,True,100.0,6.949972315797036,78,76.34645526299983,0.9788007084999978,True,trial_60
25,0.1,1.0,13,same,static,True,100.0,6.949972315797036,79,77.73238362300026,0.9839542230759527,True,trial_60
25,0.1,1.0,13,same,static,True,100.0,6.949972315797037,78,77.8523667909999,0.9981072665512807,True,trial_60
25,0.1,1.0,13,same,static,True,100.0,6.949972315797037,78,79.88456659700023,1.0241611102179518,True,trial_60
25,0.1,1.0,13,same,static,True,100.0,6.919008788751851,134,122.48531736299992,0.9140695325597009,True,trial_45
25,0.1,1.0,13,same,static,True,100.0,6.919008788751851,134,126.71113181500004,0.9456054613059705,True,trial_45
25,0.1,1.0,13,same,static,True,100.0,6.919317586337705,135,126.74773132300015,0.9388720838740752,True,trial_45
25,0.1,1.0,13,same,static,True,100.0,6.919008788751851,134,128.72786434299996,0.9606557040522385,True,trial_45
25,0.1,1.0,13,same,static,True,100.0,6.919008788751849,134,129.58800938900004,0.9670746969328361,True,trial_45
25,0.1,1.0,13,same,static,True,100.0,6.950000000000001,181,147.836382728,0.8167755951823203,True,trial_51
50,0.1,1.0,13,same,static,True,100.0,6.949999999999998,90,163.43452118600044,1.8159391242888938,True,trial_45
50,0.1,1.0,13,same,static,True,100.0,6.950000000000001,92,168.58202303899998,1.8324132939021738,True,trial_45
50,0.1,1.0,13,same,static,True,100.0,6.949950752412557,93,169.17001650600014,1.8190324355483887,True,trial_60
50,0.1,1.0,13,same,static,True,100.0,6.926310526688106,88,173.67433748299982,1.9735720168522706,True,trial_60
50,0.1,1.0,13,same,static,True,100.0,6.946537871578385,60,122.66993232999994,2.0444988721666655,True,trial_46
50,0.1,1.0,13,same,static,True,100.0,6.933356279338228,66,127.15254127700018,1.926553655712124,True,trial_46
50,0.1,1.0,13,same,static,True,100.0,6.949901288309554,109,207.48018427999978,1.9034879291743099,True,trial_60
25,0.1,1.0,13,same,static,True,100.0,6.94951554664049,220,241.27145731300016,1.0966884423318188,True,trial_51
25,0.1,1.0,13,same,static,True,100.0,6.949515516055754,220,243.80613075100018,1.108209685231819,True,trial_51
50,0.1,1.0,13,same,static,True,100.0,6.938494386855556,124,244.24690763900026,1.9697331261209698,True,trial_45
50,0.1,1.0,13,same,static,True,100.0,6.9499999999999975,123,256.0981781190003,2.0820990090975635,True,trial_60
50,0.1,1.0,13,same,static,True,100.0,6.95,154,265.0257288449998,1.7209462912012972,True,trial_45
50,0.1,1.0,13,same,static,True,100.0,6.949999973341232,137,270.13134625500015,1.9717616514963514,True,trial_51
50,0.1,1.0,13,same,static,True,100.0,6.89835371661755,78,168.53702206699973,2.160731052141022,True,trial_46
25,0.1,1.0,13,same,static,False,99.20882084871721,6.44557866541369,400,296.933861297,0.7423346532425,True,trial_51
25,0.1,1.0,13,same,static,False,99.29056533740487,6.446396110300565,400,302.0336585189998,0.7550841462974995,True,trial_51
25,0.1,1.0,13,same,static,True,100.0,6.947174244628872,341,304.67193540900007,0.893466086243402,True,trial_46
25,0.1,1.0,13,same,static,True,100.0,6.947174244628871,341,310.80263368600026,0.9114446735659831,True,trial_46
50,0.1,1.0,13,same,static,True,100.0,6.939331640174761,162,315.74109338599965,1.9490190949753066,True,trial_45
50,0.1,1.0,13,same,static,True,100.0,6.926278623006692,144,318.6701722529997,2.2129873073124977,True,trial_60
50,0.1,1.0,13,same,static,True,100.0,6.927805026884512,120,251.88472430399997,2.0990393692,True,trial_46
50,0.1,1.0,13,same,static,True,100.0,6.949999999999998,184,290.5470170919998,1.579059875499999,True,trial_51
