LI,EF,DF,HL,rollout_method,hertg_method,done,percent_done,cumulative_reward,num_actions,computation_time,computation_per_action,rollout_pre_collision_stop,collision_failure,trial_config
200,0.1,1.0,6,random,static,False,78.17470860765842,0.8205491953167346,12,41.61787783999989,3.4681564866666577,False,True,trial_60
200,0.1,1.0,6,random,static,False,58.33333333333333,0.6678918545702509,13,42.705351895000604,3.2850270688462,False,True,trial_60
200,0.1,1.0,6,random,static,False,79.4379153138843,0.8382434015110459,13,47.42381033299989,3.6479854102307607,False,True,trial_60
200,0.1,1.0,6,random,static,True,100.0,1.1804339474808394,52,159.61665615899983,3.069551079980766,False,False,trial_60
200,0.1,1.0,6,random,static,True,100.0,1.18946565931346,54,166.585472064,3.084916149333333,False,False,trial_45
200,0.1,1.0,6,random,static,True,100.0,1.1649834670283303,53,169.5321175149993,3.1987191983962133,False,False,trial_60
200,0.1,1.0,6,random,static,True,100.0,1.166424443002327,61,169.8648360669995,2.784669443721303,False,False,trial_60
200,0.1,1.0,6,random,static,True,100.0,1.1246346298814565,64,182.46490714299944,2.851014174109366,False,False,trial_60
200,0.1,1.0,6,random,static,True,100.0,1.1539650904714995,68,188.17631214000085,2.767298707941189,False,False,trial_60
200,0.1,1.0,6,random,static,True,100.0,1.1065525580796642,64,194.02620276200014,3.031659418156252,False,False,trial_60
200,0.1,1.0,6,random,static,True,100.0,1.17848328425611,67,194.98241681900072,2.910185325656727,False,False,trial_60
200,0.1,1.0,6,random,static,True,100.0,1.1600235131685674,70,201.98680295199938,2.885525756457134,False,False,trial_60
200,0.1,1.0,6,random,static,True,100.0,1.1648153105034027,69,220.71491529600007,3.1987668883478273,False,False,trial_60
200,0.1,1.0,6,random,static,True,100.0,1.168674281353687,79,224.2422980219999,2.838510101544302,False,False,trial_60
200,0.1,1.0,6,random,static,True,100.0,1.1896814235811153,75,230.54469753099966,3.0739293004133286,False,False,trial_45
200,0.1,1.0,6,random,static,False,67.79810228588845,0.7031714648446377,22,68.99461823799993,3.1361190108181787,False,True,trial_51
200,0.1,1.0,6,random,static,True,100.0,1.180722334992835,76,240.67697213199972,3.166802264894733,False,False,trial_60
200,0.1,1.0,6,random,static,True,100.0,1.1733790295824449,87,257.5428917999998,2.9602631241379287,False,False,trial_45
200,0.1,1.0,6,random,static,True,100.0,1.1880037798804746,88,261.4042928130002,2.970503327420457,False,False,trial_51
200,0.1,1.0,6,random,static,True,100.0,1.1694271316494043,73,272.6438379629999,3.7348470953835604,False,False,trial_60
200,0.1,1.0,6,random,static,True,100.0,1.1604611740001132,91,282.7750236920001,3.107417842769232,False,False,trial_45
200,0.1,1.0,6,random,static,True,100.0,1.1801506135952107,88,258.8059658080001,2.9409768841818194,False,False,trial_51
200,0.1,1.0,6,random,static,True,100.0,1.146313815324361,85,263.3170534869996,3.0978476880823482,False,False,trial_51
200,0.1,1.0,6,random,static,True,100.0,1.1848767847231323,91,260.56239561799975,2.863323028769228,False,False,trial_51
200,0.1,1.0,6,random,static,False,70.82164309579653,0.7613101913595066,17,50.31936893300008,2.959962878411769,False,True,trial_46
200,0.1,1.0,6,random,static,True,100.0,1.1887534952663514,110,351.30593512500036,3.193690319318185,False,False,trial_45
200,0.1,1.0,6,random,static,True,100.0,1.180929796780812,137,375.96637821999957,2.7442801329926976,False,False,trial_45
200,0.1,1.0,6,random,static,True,100.0,1.1677248992246516,50,154.63803724300033,3.0927607448600067,False,False,trial_46
200,0.1,1.0,6,random,static,True,100.0,1.1881507065901271,128,396.02961719500036,3.0939813843359403,False,False,trial_45
200,0.1,1.0,6,random,static,True,100.0,1.1438751159044653,56,173.71548933099984,3.10206230948214,False,False,trial_46
200,0.1,1.0,6,random,static,True,100.0,1.1801506135952107,88,255.39654962399982,2.9022335184545436,False,False,trial_51
200,0.1,1.0,6,random,static,True,100.0,1.1420319613700964,63,187.61456435499986,2.9780089580158706,False,False,trial_46
200,0.1,1.0,6,random,static,True,100.0,1.1695530706102701,140,435.6529435120001,3.111806739371429,False,False,trial_45
200,0.1,1.0,6,random,static,True,100.0,1.1891435504210381,141,439.67728382600035,3.118278608695038,False,False,trial_45
200,0.1,1.0,6,random,static,True,100.0,1.1694497997335926,59,184.07907281500047,3.119984285000008,False,False,trial_46
200,0.1,1.0,6,random,static,True,100.0,1.1707250017342412,54,176.99701237699992,3.2777224514259244,False,False,trial_46
200,0.1,1.0,6,random,static,True,100.0,1.1721176677577299,160,458.4077247060004,2.8650482794125027,False,False,trial_45
200,0.1,1.0,6,random,static,True,100.0,1.146019785587181,52,155.7474290049995,2.9951428654807595,False,False,trial_46
200,0.1,1.0,6,random,static,True,100.0,1.1707250017342412,54,162.40051670699995,3.0074169760555547,False,False,trial_46
200,0.1,1.0,6,random,static,True,100.0,1.1420319613700964,63,188.4215972889997,2.990819004587297,False,False,trial_46
200,0.1,1.0,6,random,static,True,100.0,1.1753165962389902,59,192.08684561399969,3.25570924769491,False,False,trial_46
200,0.1,1.0,6,random,static,True,100.0,1.1600990096494597,51,159.38176479200047,3.125132642980401,False,False,trial_46
200,0.1,1.0,6,random,static,True,100.0,1.1717604325073419,93,288.2487557260001,3.0994489863010766,False,False,trial_46
200,0.1,1.0,6,random,static,True,100.0,1.1443280725769962,175,531.6269628379996,3.037868359074283,False,False,trial_45
200,0.1,1.0,6,random,static,True,100.0,1.115760611013133,146,559.8894162239994,3.834859015232873,False,False,trial_51
200,0.1,1.0,6,random,static,True,100.0,1.162051501964153,62,192.3652322150001,3.102665035725808,False,False,trial_46
200,0.1,1.0,6,random,static,True,100.0,1.1897053122623904,169,589.4597517900002,3.4879275253846163,False,False,trial_45
200,0.1,1.0,6,same,static,False,82.8502802937125,0.949323649119011,32,118.26952207400063,3.69592256481252,False,True,trial_60
200,0.1,1.0,6,random,static,False,99.21737674802151,1.1270387676943163,134,382.63071803299954,2.8554531196492503,False,True,trial_46
200,0.1,1.0,6,random,static,True,100.0,1.1717604325073419,93,281.53580055100065,3.027266672591405,False,False,trial_46
200,0.1,1.0,6,same,static,False,82.8502802937125,0.949323649119011,32,117.03890455500004,3.6574657673437514,False,True,trial_60
200,0.1,1.0,6,same,static,True,100.0,1.1761420007787682,110,295.7751316929998,2.6888648335727257,False,False,trial_45
200,0.1,1.0,6,random,static,True,100.0,1.152767623729005,188,514.4675559719999,2.7365295530425526,False,False,trial_51
200,0.1,1.0,6,same,static,True,100.0,1.1465606659040437,114,298.6280069310005,2.619543920447373,False,False,trial_45
200,0.1,1.0,6,random,static,True,100.0,1.1888747767499104,206,564.844072029,2.7419615147038834,False,False,trial_51
200,0.1,1.0,6,random,static,True,100.0,1.1894181803610062,162,525.8565121000001,3.246027852469137,False,False,trial_51
200,0.1,1.0,6,random,static,True,100.0,1.1814072984117616,234,759.0775660479994,3.243921222427348,False,False,trial_45
200,0.1,1.0,6,random,static,True,100.0,1.1858589345767871,144,567.9318573139999,3.9439712313472217,False,False,trial_51
200,0.1,1.0,6,random,static,True,100.0,1.1858589345767871,144,576.7685453739996,4.005337120652775,False,False,trial_51
200,0.1,1.0,6,same,static,True,100.0,1.188015244109246,142,381.92579889699937,2.689618302091545,False,False,trial_45
200,0.1,1.0,6,same,static,True,100.0,1.1465606659040437,114,304.05665275200045,2.667163620631583,False,False,trial_45
200,0.1,1.0,6,same,static,True,100.0,1.1830640630373532,161,384.13674913200066,2.385942541192551,False,False,trial_45
200,0.1,1.0,6,same,static,True,100.0,1.1609058816037736,142,395.67493795500013,2.786443225035212,False,False,trial_45
