LI,EF,DF,HL,rollout_method,hertg_method,done,percent_done,cumulative_reward,num_actions,computation_time,computation_per_action,rollout_pre_collision_stop,collision_failure,skip_rollout,no_hertg,trial_config
25,0.1,1.0,6,random_same,dynamic,False,49.55200182749447,0.554410112376657,12,0.9114455029994133,0.07595379191661777,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.11433986920293,0.5342001594604083,12,0.9135194359987509,0.07612661966656258,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.55760520531031,0.5527879046936213,12,0.9483168020015,0.07902640016679167,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.56060987359988,0.5561605237323682,12,1.1635577939960058,0.09696314949966715,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.135511422599045,0.5327336335331755,12,1.177599835995352,0.09813331966627932,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.13425088689022,0.5360636005319381,12,1.224950366995472,0.10207919724962267,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.545822573765754,0.5543483198393699,12,1.2464342370003578,0.10386951975002982,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.13461480525757,0.5360672397156118,12,1.2572256600033143,0.10476880500027619,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.55300063433034,0.5544201004450157,12,1.2862909749965183,0.1071909145830432,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.12693204370049,0.5343260812053839,12,1.3062809709954308,0.10885674758295256,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.541214114459855,0.554302235246311,12,1.3804178549980861,0.1150348212498405,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.5513408318902,0.5544035024206144,12,1.387336530999164,0.11561137758326367,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.562789326548206,0.5545179873671945,12,1.3868772420028108,0.11557310350023424,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.54866913032182,0.5526985439437363,12,1.4426644639970618,0.12022203866642182,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.11396782555087,0.5358607699185448,12,1.447459784001694,0.12062164866680784,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.537848333164256,0.5542685774333549,12,1.4890480960020795,0.12408734133350663,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.54020546198793,0.5542921487215918,12,1.4981253019941505,0.12484377516617921,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.53713211647651,0.5559257461611344,12,1.5137026119991788,0.1261418843332649,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.544982037048946,0.5560042453668588,12,1.6568792100006249,0.13807326750005208,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.541092369049764,0.55430101779221,12,1.6754125180013943,0.13961770983344954,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.545574590359045,0.5560101708999597,12,1.6794682899999316,0.13995569083332762,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.54358565637998,0.5526477092043182,12,1.689985400000296,0.14083211666669135,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.118158968363325,0.5342383504520124,12,1.7396852949968888,0.14497377458307406,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.56035492489269,0.5544936433506394,12,1.5177099600041402,0.126475830000345,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.550919180477635,0.5543992859064887,12,1.816781636000087,0.15139846966667392,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.550318592473154,0.5527150385652496,12,0.7716151970016654,0.06430126641680545,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.07650448959583,0.5338218056643372,12,1.1482603719996405,0.09568836433330337,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.12693204370049,0.5343260812053839,12,0.8931366110045929,0.0744280509170494,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.539314962778015,0.5542832437294924,12,1.1712364949999028,0.0976030412499919,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.550318592473154,0.5527150385652496,12,1.4607971540026483,0.12173309616688736,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.547893779693254,0.554369031898645,12,1.1848401640017983,0.09873668033348319,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.55619018611483,0.5527737545016665,12,1.4103909469995415,0.11753257891662845,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.547893779693254,0.554369031898645,12,1.2014509820000967,0.10012091516667472,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.14283653335634,0.5344851261019423,12,1.4028011600021273,0.11690009666684394,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.54020546198793,0.5542921487215918,12,1.365788101000362,0.1138156750833635,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.53947131706673,0.5542848072723797,12,1.1056026339938398,0.09213355283281999,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.07650448959583,0.5338218056643372,12,1.3494400969939306,0.11245334141616088,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.11565572033889,0.5342133179717681,12,1.4608785460004583,0.12173987883337152,False,True,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,True,100.0,1.179277428035425,72,4.9858288719988195,0.06924762322220583,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,91.66666666666666,1.0179488746722227,400,21.875990148997516,0.05468997537249379,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,91.66666666666666,1.0179488746722227,400,24.150162787998852,0.06037540696999713,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,91.66666666666666,1.0029126999803337,400,27.185929070001293,0.06796482267500323,False,False,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,49.54567215906022,0.5653181598196291,400,29.036321129002317,0.0725908028225058,False,False,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,50.0,0.5897965147225459,400,34.12388645699684,0.08530971614249211,False,False,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,50.0,0.5896393140894025,400,34.003798626996286,0.08500949656749071,False,False,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,83.33333333333334,0.950063079750077,400,35.14770394699735,0.08786925986749339,False,False,True,False,trial_60
25,0.1,1.0,6,random_same,dynamic,False,49.549289118746906,0.5696832913240492,400,36.05235776799964,0.0901308944199991,False,False,True,False,trial_45
25,0.1,1.0,6,random_same,dynamic,False,50.0,0.5897965147225459,400,37.48518405499635,0.09371296013749088,False,False,True,False,trial_45
