LI,EF,DF,HL,rollout_method,hertg_method,done,percent_done,cumulative_reward,num_actions,computation_time,computation_per_action,trial_config
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,41,86.02897862400005,2.098267771317074,trial_14
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,44,96.90590131900001,2.2024068481590913,trial_51
100,0.1,1.0,6,random,static,True,100.0,6.846513178844505,51,127.04350464600003,2.491049110705883,trial_55
100,0.1,1.0,6,random,static,True,100.0,6.95,53,129.77543156899992,2.4485930484716967,trial_16
100,0.1,1.0,6,random,static,True,100.0,6.949999999999998,52,132.48592889000003,2.5478063248076928,trial_9
100,0.1,1.0,6,random,static,True,100.0,6.949998914971228,77,144.163678252,1.8722555617142858,trial_52
100,0.1,1.0,6,random,static,True,100.0,6.949059453698583,74,157.76686461800006,2.1319846570000007,trial_95
100,0.1,1.0,6,random,static,True,100.0,6.947147645268712,73,160.976733298,2.205160730109589,trial_50
100,0.1,1.0,6,random,static,True,100.0,6.945802191707538,82,176.995296801,2.1584792292804877,trial_45
100,0.1,1.0,6,random,static,True,100.0,6.924688189485987,95,182.988714984,1.926196999831579,trial_22
100,0.1,1.0,6,random,static,True,100.0,6.946688715582798,104,187.89181075599993,1.8066520264999992,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,89,190.63952554600007,2.142017140966293,trial_24
100,0.1,1.0,6,random,static,True,100.0,6.814761246907201,98,197.153237069,2.0117677251938777,trial_25
100,0.1,1.0,6,random,static,True,100.0,6.940287877371643,107,198.11840461800006,1.85157387493458,trial_41
100,0.1,1.0,6,random,static,True,100.0,6.91753353065703,93,198.91216854900006,2.138840522032259,trial_74
100,0.1,1.0,6,random,static,True,100.0,6.925908809095974,90,202.35335536699995,2.2483706151888883,trial_2
100,0.1,1.0,6,random,static,True,100.0,6.929466387017894,159,228.911225096,1.4396932395974844,trial_3
100,0.1,1.0,6,random,static,True,100.0,6.95,64,139.72406400900002,2.1831885001406253,trial_92
100,0.1,1.0,6,random,static,True,100.0,6.940658362497037,140,252.50966645200003,1.803640474657143,trial_1
100,0.1,1.0,6,random,static,True,100.0,6.923489119060357,64,129.98325243099998,2.0309883192343747,trial_7
100,0.1,1.0,6,random,static,True,100.0,6.924747609041228,71,133.10582139899998,1.8747298788591547,trial_42
100,0.1,1.0,6,random,static,True,100.0,6.949999999999998,54,149.81733687100007,2.774395127240742,trial_72
100,0.1,1.0,6,random,static,False,50.0,3.4673266476001428,200,325.63396696000007,1.6281698348000004,trial_54
100,0.1,1.0,6,random,static,True,100.0,6.840012775621166,82,150.81452738200005,1.839201553439025,trial_63
100,0.1,1.0,6,random,static,True,100.0,6.939785920931367,135,340.871702478,2.524975573911111,trial_18
100,0.1,1.0,6,random,static,True,100.0,6.891786785012795,51,113.79741392300002,2.2313218416274516,trial_98
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,69,145.53568451899991,2.1092128191159407,trial_13
100,0.1,1.0,6,random,static,True,100.0,6.911432667567693,66,161.81913740100003,2.451805112136364,trial_93
100,0.1,1.0,6,random,static,False,83.33333333333334,5.70240301171402,200,354.217244824,1.7710862241199998,trial_46
100,0.1,1.0,6,random,static,True,100.0,6.949900955810791,39,98.76144575500007,2.53234476294872,trial_39
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,66,176.518575253,2.6745238674696967,trial_59
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,54,131.32952273,2.432028198703704,trial_53
100,0.1,1.0,6,random,static,True,100.0,6.908646845687734,110,201.801274561,1.8345570414636365,trial_85
100,0.1,1.0,6,random,static,True,100.0,6.9155551497868215,98,222.04251569899998,2.265739956112245,trial_34
